draw,subj_idx,rt_quintile,subject_mean
2,3,3,0.6296296296296297
2,3,4,0.574468085106383
2,3,5,0.47619047619047616
2,7,1,0.7142857142857143
2,7,2,0.5
2,7,3,0.5
2,7,4,0.5277777777777778
2,7,5,0.4931506849315068
2,8,1,0.5900621118012422
2,8,2,0.39344262295081966
2,8,3,0.4358974358974359
2,8,4,0.48
2,8,5,0.5
2,9,1,0.36
2,9,2,0.5161290322580645
2,9,3,0.5
2,9,4,0.4935064935064935
2,9,5,0.5365853658536586
2,10,1,
2,10,2,0.6486486486486487
2,10,3,0.34545454545454546
2,10,4,0.33962264150943394
2,10,5,0.5
2,11,1,0.4855072463768116
2,11,2,0.5128205128205128
2,11,3,0.42105263157894735
2,11,4,0.5588235294117647
2,11,5,0.5
2,12,1,0.4090909090909091
2,12,2,0.5441176470588235
2,12,3,0.4864864864864865
2,12,4,0.475
2,12,5,0.5394736842105263
2,13,1,0.42857142857142855
2,13,2,0.38235294117647056
2,13,3,0.25
2,13,4,0.42105263157894735
2,13,5,0.4
2,15,1,0.29411764705882354
2,15,2,0.3723404255319149
2,15,3,0.5238095238095238
2,15,4,0.5
2,15,5,0.47368421052631576
2,16,1,0.4
2,16,2,0.5113636363636364
2,16,3,0.47368421052631576
2,16,4,0.6190476190476191
2,16,5,0.42857142857142855
2,17,1,0.5476190476190477
2,17,2,0.4482758620689655
2,17,3,0.3770491803278688
2,17,4,0.46938775510204084
2,17,5,0.4358974358974359
2,18,1,0.8125
2,18,2,0.603448275862069
2,18,3,0.45652173913043476
2,18,4,0.45652173913043476
2,18,5,0.39655172413793105
2,19,1,0.375
2,19,2,0.5121951219512195
2,19,3,0.3888888888888889
2,19,4,0.6212121212121212
2,19,5,0.5068493150684932
2,20,1,0.21428571428571427
2,20,2,0.3787878787878788
2,20,3,0.42857142857142855
2,20,4,0.47761194029850745
2,20,5,0.5242718446601942
2,21,1,0.0
2,21,2,0.2
2,21,3,0.3770491803278688
2,21,4,0.5904761904761905
2,21,5,0.5765765765765766
2,22,1,0.46875
2,22,2,0.43478260869565216
2,22,3,0.6176470588235294
2,22,4,0.5671641791044776
2,22,5,0.5238095238095238
2,23,1,0.65
2,23,2,0.5217391304347826
2,23,3,0.5
2,23,4,0.3392857142857143
2,23,5,0.4230769230769231
2,24,1,0.5083333333333333
2,24,2,0.5185185185185185
2,24,3,0.6923076923076923
2,24,4,0.5714285714285714
2,24,5,0.45161290322580644
2,25,1,0.09090909090909091
2,25,2,0.13636363636363635
2,25,3,0.39344262295081966
2,25,4,0.5466666666666666
2,25,5,0.49612403100775193
2,26,1,
2,26,2,0.25
2,26,3,0.4157303370786517
2,26,4,0.53125
2,26,5,0.6302521008403361
3,2,1,0.3684210526315789
3,2,2,0.5217391304347826
3,2,3,0.3728813559322034
3,2,4,0.5
3,2,5,0.4067796610169492
3,3,1,0.7560975609756098
3,3,2,0.6142857142857143
3,3,3,0.5384615384615384
3,3,4,0.5106382978723404
3,3,5,0.4473684210526316
3,7,1,0.3333333333333333
3,7,2,0.5416666666666666
3,7,3,0.4823529411764706
3,7,4,0.6029411764705882
