draw,dwell_quintile,p_choose_S,draw_subject_sd,n_subjects,draw_subject_sem
8,S>E,0.45053519553780885,0.0940652045876814,21,0.020526710489740828
8,S>>E,0.5109401640727251,0.09278769259664225,21,0.02024793451830508
9,E>>S,0.5673797508530244,0.12686371299788662,21,0.027683931797903263
9,E>S,0.48536991077222114,0.13265651635589623,21,0.02894802512524009
9,S~E,0.4550507203692848,0.10103808281522914,21,0.02204831726542878
9,S>E,0.45596436864357676,0.11570937461718067,21,0.025249855609487257
9,S>>E,0.5090299125123777,0.09821144317676744,21,0.021431493927066243
10,E>>S,0.5695522771396234,0.15557224612235954,21,0.03394864732809585
10,E>S,0.47991036712849405,0.14558594382827664,21,0.031769457510222227
10,S~E,0.4487940420368791,0.09756367003563028,21,0.021290138238855748
10,S>E,0.45914870231709354,0.08951127758670195,21,0.019532962147298372
10,S>>E,0.5322516882273265,0.11644754666719162,21,0.025410937956871823
11,E>>S,0.5870345771418299,0.16724051542279775,21,0.036494872437542875
11,E>S,0.48769734622262223,0.12380199272881667,21,0.027015809660294043
11,S~E,0.4493532685052683,0.09773837936340081,21,0.02132826293976638
11,S>E,0.44955907104685944,0.10393324093254463,21,0.022680092561688975
11,S>>E,0.5066471430798233,0.11720050434532883,21,0.025575246792831918
12,E>>S,0.575439153396593,0.1577408457806233,21,0.03442187457028866
12,E>S,0.5004917242813762,0.1274392412301415,21,0.027809522354517172
12,S~E,0.45372650852148655,0.09546585500424284,21,0.02083235746860103
12,S>E,0.4543825147775512,0.0979452866644637,21,0.02137341381447875
12,S>>E,0.5230663271884556,0.12122350518851402,21,0.026453137549249404
13,E>>S,0.5879321051295003,0.13733309442229585,21,0.029968538124413736
13,E>S,0.49859165464298644,0.12632380561102105,21,0.027566114347018632
13,S~E,0.43950320611642935,0.10053044615988942,21,0.02193754186549409
13,S>E,0.4610655101217846,0.10664075973370003,21,0.02327092160225139
13,S>>E,0.5194052187794103,0.08375259655083288,21,0.018276314921109003
14,E>>S,0.5750839214498344,0.1669829336237921,21,0.036438663480800666
14,E>S,0.47745344977653065,0.13912421861810173,21,0.03035939346757313
14,S~E,0.44747076108791345,0.105157674288111,21,0.022947285825275245
14,S>E,0.463995833928593,0.09612201630434376,21,0.020975543603163557
14,S>>E,0.5119858246603026,0.08444971801157591,21,0.018428439295510583
15,E>>S,0.5756510878207122,0.13849383705850668,21,0.030221832933594626
15,E>S,0.47286679946639265,0.13057282973084197,21,0.028493327426007797
15,S~E,0.45670854016779067,0.09388090149618235,21,0.020486492257949934
15,S>E,0.45380751052597207,0.07603438613132969,21,0.016592063326967565
15,S>>E,0.5034759035268549,0.10225895594091573,21,0.02231473362316193
16,E>>S,0.5673714852903473,0.13821725141199284,21,0.03016147699734282
16,E>S,0.49235388219092646,0.12775710495016113,21,0.02787888590488242
16,S~E,0.44377689116356905,0.10319916571294357,21,0.02251990421599311
16,S>E,0.4580663118841741,0.0908777321835113,21,0.019831146986517383
16,S>>E,0.5067643960958946,0.08552684462682678,21,0.01866348759300766
17,E>>S,0.5830654856205065,0.14594490517895642,21,0.031847789298843826
17,E>S,0.4888740303698317,0.13698106255472461,21,0.029891718472976503
17,S~E,0.4370786598644003,0.09499607027732238,21,0.020729842036627352
17,S>E,0.4563931302165517,0.0971578969343981,21,0.021201591288790345
17,S>>E,0.5023294100027763,0.08813627110236555,21,0.019232911133225672
18,E>>S,0.5829668009257486,0.15962603540080544,21,0.0348332566718996
18,E>S,0.49199685967645057,0.1311055421823559,21,0.02860957481327961
18,S~E,0.4498792546671958,0.1084861736490086,21,0.02367362393346217
