rep,parameter,true,recovered
14,v_Intercept,1.6835467480169977,1.7514757944645485
14,v_z_AttentionW,1.2525594669808913,1.2387514686072922
14,v_z_IAW_chart:C(OVcate)[low],1.1834404789434896,1.333311336671037
14,v_z_IAW_chart:C(OVcate)[medium],1.0916313862223814,1.0507193554817293
14,v_z_IAW_chart:C(OVcate)[high],1.0890598975014107,1.0697713608155333
14,v_z_IAW_image:C(OVcate)[low],0.7351697692301229,0.6865311881292873
14,v_z_IAW_image:C(OVcate)[medium],0.9057058553749361,0.9183370436149141
14,v_z_IAW_image:C(OVcate)[high],0.97816620479749,0.9102314941002468
15,t,0.4434221337183936,0.4491788548725396
15,a(low),2.164218026077603,2.0861082187171105
15,a(medium),2.120238961720264,2.073793712871935
15,a(high),1.6339561695576499,1.6192484337422037
15,v_Intercept,1.5483598631424909,1.5649132315437557
15,v_z_AttentionW,1.4308278759669864,1.3978660484098409
15,v_z_IAW_chart:C(OVcate)[low],1.6706780779162484,1.4666232460470587
15,v_z_IAW_chart:C(OVcate)[medium],1.0701960688799452,1.0547679476860814
15,v_z_IAW_chart:C(OVcate)[high],1.2654859635999334,1.2973241089575194
15,v_z_IAW_image:C(OVcate)[low],0.9048231588973928,0.8874691281208016
15,v_z_IAW_image:C(OVcate)[medium],0.9843203081662641,1.057308345777826
15,v_z_IAW_image:C(OVcate)[high],1.129680207756508,1.121420695138365
16,t,0.428990329533835,0.43836996750923934
16,a(low),2.018198472994147,1.9830489715648818
16,a(medium),1.9619325817957005,1.9407474148415496
16,a(high),2.0001570382494607,1.94874170524672
16,v_Intercept,1.4692637076822623,1.5167880947835142
16,v_z_AttentionW,1.2792628018398478,1.2342730036256115
16,v_z_IAW_chart:C(OVcate)[low],1.379980866103553,1.2560900783270168
16,v_z_IAW_chart:C(OVcate)[medium],1.1357534153395865,1.0582669981236585
16,v_z_IAW_chart:C(OVcate)[high],1.0343467755304407,1.0120224842047498
16,v_z_IAW_image:C(OVcate)[low],0.7226970545823326,0.6904834298459522
16,v_z_IAW_image:C(OVcate)[medium],0.9313673410779385,0.8294252205374884
16,v_z_IAW_image:C(OVcate)[high],1.1221261942451828,1.1044991811648475
17,t,0.43248936502695434,0.44620456474484627
17,a(low),2.0868063943710737,1.9938595869037277
17,a(medium),1.9756474254639622,1.8802333572947179
17,a(high),1.9163620015599976,1.834478984772968
17,v_Intercept,1.4865131763856503,1.4345178088051826
17,v_z_AttentionW,1.1825727337586975,0.9443101248673286
17,v_z_IAW_chart:C(OVcate)[low],1.6543600870489295,1.7150410981307673
17,v_z_IAW_chart:C(OVcate)[medium],1.1056114596998687,0.9440462994978689
17,v_z_IAW_chart:C(OVcate)[high],1.2351513531161404,1.075974003990701
17,v_z_IAW_image:C(OVcate)[low],1.1512297088811456,0.3493282720951847
