param,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(low).22,1.367803120668759,0.0587267880515169,1.2584041460617876,1.3271542967900554,1.365773203576239,1.4058050871337662,1.4884856221981306,0.0005773870288601
a_subj(low).23,2.284807323018713,0.1001742526478655,2.0975525723742665,2.2152090537228544,2.2831301577046483,2.351451655656057,2.487975796954537,0.0010366095037964
a_subj(low).24,2.283815815912587,0.1173316332382868,2.065763589689772,2.2030948927823224,2.280778140542245,2.359588291057992,2.524838167042885,0.0017650720102931
a_subj(low).25,1.0012068163142391,0.0853144954156725,0.8467584985855259,0.9402579382009988,0.9975154868406966,1.0580360626702747,1.1791033525957446,0.0008907369798999
a_subj(low).27,1.261047822089963,0.057241966011076,1.154889464500606,1.2210838926843148,1.2593230873127033,1.2990666124863055,1.3782176911775896,0.0005710031248692
a_subj(medium).1,2.2264851087734585,0.1089002465820435,2.0213748995946537,2.1509923810029314,2.2234655562744607,2.298130046138226,2.451102262846829,0.0014146676192333
a_subj(medium).3,2.181247076769424,0.1094701347638812,1.9731395330554455,2.106002266894308,2.179680584819845,2.2528177979705486,2.40602739914313,0.0013737833867364
a_subj(medium).4,1.8260140964049676,0.084700075132131,1.66814993234567,1.7672703786762278,1.822630089223216,1.881805572215596,1.9983098453472208,0.0010493696735577
a_subj(medium).5,2.1012459441729527,0.1158161177732877,1.886329285810624,2.020086429189284,2.0958083692348426,2.178639575626205,2.339772189669124,0.0015270442912801
a_subj(medium).7,2.0531668397205656,0.1041780134193829,1.8598823846264525,1.981424592440865,2.0494408055795192,2.1208809002522013,2.268073664373775,0.0014823948877943
a_subj(medium).8,1.7560570275529288,0.0966985726596846,1.5768446034027028,1.6890865355286029,1.75198604028406,1.8193428635862967,1.958696894041676,0.0016305679936259
a_subj(medium).10,1.2022270153526526,0.0598224560513755,1.0899098609385949,1.1614040470280202,1.2006473372567714,1.241733586379014,1.3232375430732786,0.0005931478011652
a_subj(medium).11,1.707637832208192,0.0826313265566874,1.554669605535612,1.6510434974706925,1.703845625305112,1.761781344960538,1.8784081511863464,0.0010241504514926
a_subj(medium).12,2.014851931404892,0.0914650666464958,1.8417119865014948,1.9516683431670645,2.011832377441552,2.075333493395084,2.199940178487084,0.0010596282696594
a_subj(medium).13,1.923450846992504,0.1020244208307183,1.7302974800309157,1.853249012925469,1.9209689802441687,1.990499658064128,2.1295069595606044,0.0015466149601616
a_subj(medium).15,1.491623715489853,0.0624649285474525,1.37371066755391,1.4487129517877224,1.4900625803770395,1.532719134715994,1.6181280959989082,0.0006898010875404
a_subj(medium).16,3.0073453139905983,0.2041670857220268,2.629298898782,2.861246431961751,3.0012791826893768,3.1465374777070543,3.4188254701384877,0.0038605250849185
a_subj(medium).17,1.8764426912031575,0.1189606011989488,1.6577357076662746,1.793922324158045,1.871704854422434,1.953992625230536,2.1247225507896594,0.0012560203810235
a_subj(medium).19,1.7064256230550192,0.084769947133712,1.5462901665228972,1.6483127453216837,1.704057260704435,1.7615143949715577,1.88120477018359,0.0011519096020743
a_subj(medium).21,1.716178391107732,0.0766200352362024,1.5704459730837783,1.6636588321794366,1.7150936934717504,1.767158808518947,1.8683076055335253,0.0007565358647297
a_subj(medium).22,1.346286402807668,0.0671244857073878,1.2182860247374312,1.299894972361024,1.344977655279919,1.390667443336521,1.4810975759161766,0.0009147224148289
a_subj(medium).23,1.613006045862372,0.0806664501356955,1.4618911523633922,1.5577703413794004,1.6107949216363957,1.6651525059689458,1.7782453037465669,0.001096466059886
a_subj(medium).24,2.0699525791294024,0.138642298378071,1.827862231625876,1.9733564573868685,2.058826658559461,2.155569057843289,2.379599814972277,0.0028357181628068
a_subj(medium).25,0.9352147033373656,0.070463215978263,0.8081770358180788,0.8864351592912441,0.9309409201400944,0.9800050381184862,1.0848724581546847,0.000767533143836
a_subj(medium).27,1.363236221055947,0.0609862840835139,1.2479595351572903,1.3214489907222868,1.3618227266421203,1.4038006820396784,1.4862738120801962,0.0005820678683378
t,0.4275042132276077,0.0234344550639815,0.3840465304520024,0.4115883445005179,0.4265773881433269,0.4425317038183933,0.4757961512086334,0.0002197230841689
t_std,0.1035247780768472,0.0195911392602658,0.0732546105560309,0.0896352116144124,0.1007421334578051,0.1142755834250253,0.1492584901820156,0.0002130467648292
t_subj.1,0.4235854637024043,0.0107878416033284,0.4005828916804702,0.4168424454481582,0.4241865826425481,0.4311519790907401,0.4425399144230088,0.0001525519456765
t_subj.3,0.3722901385968158,0.0150407114066515,0.3407777027382737,0.3625953656677094,0.37306409054812,0.3826654220039479,0.3995083961020001,0.0002053547058281
t_subj.4,0.5431557232754397,0.0127792120700793,0.5182852016789782,0.5345964851990785,0.5427359923352776,0.5518949471944289,0.5681026346566586,0.0001695832482604
t_subj.5,0.5417957128160222,0.0201712151726905,0.5020386537724985,0.5249092638028068,0.5457299100733403,0.557892058073317,0.5732972065858576,0.0003188656881944
t_subj.7,0.4950886987134582,0.0146516162831994,0.4644306537546348,0.485513295419435,0.4957290960395559,0.5051600486396608,0.5223782979999583,0.0001952065055244
t_subj.8,0.457047089257746,0.0100454744012739,0.4360765778193177,0.450693310731605,0.4574471692283433,0.4639402084709322,0.4753635510735723,0.0001550639408806
t_subj.10,0.2396842887882827,0.0083181802222732,0.2229611735462264,0.2344227101687653,0.2399554872612524,0.2449253345400114,0.2561735627389188,9.41255027323674e-05
t_subj.11,0.4589531143066492,0.0101882311767944,0.4392538408673312,0.4523798218972701,0.4588129984953175,0.4651621270484384,0.4801958836407347,0.000121171948946
t_subj.12,0.4717596056676514,0.0121404481431928,0.4464758381264769,0.463879086431294,0.4722645245714348,0.4800055525264586,0.4942055052769722,0.0001333843850347
t_subj.13,0.4174230853548449,0.0117669331416366,0.3928362743395884,0.4098558882591262,0.417973516139605,0.425696866624301,0.4385518338966948,0.0001904618265784
t_subj.15,0.4623844798663022,0.0084697722535696,0.4449974220632884,0.4569896629446386,0.4625336103651385,0.4678721558987641,0.4791595830265637,0.0001073706811531
t_subj.16,0.4871409407521966,0.0453828426167792,0.4036244966396473,0.4512751010775404,0.4883182185782711,0.5240180768416164,0.5661534697197177,0.0008501150813103
